Country Name,Year,Fertility_Rate
Cuba,2009,1.48
Cuba,2010,1.467
Curacao,2000,
Curacao,2001,
Curacao,2002,
Curacao,2003,
Curacao,2004,
Curacao,2005,
Curacao,2006,2.1
Curacao,2007,2.0
Curacao,2008,2.2
Curacao,2009,2.1
Curacao,2010,2.2
Cyprus,2000,1.714
Cyprus,2001,1.658
Cyprus,2002,1.6130000000000002
Cyprus,2003,1.577
Cyprus,2004,1.5490000000000002
Cyprus,2005,1.529
Cyprus,2006,1.514
Cyprus,2007,1.503
Cyprus,2008,1.493
Cyprus,2009,1.485
Cyprus,2010,1.4780000000000002
Czech Republic,2000,1.14
Czech Republic,2001,1.14
Czech Republic,2002,1.17
Czech Republic,2003,1.18
Czech Republic,2004,1.23
Czech Republic,2005,1.28
Czech Republic,2006,1.33
Czech Republic,2007,1.44
Czech Republic,2008,1.5
Czech Republic,2009,1.49
Czech Republic,2010,1.49
Denmark,2000,1.77
Denmark,2001,1.74
Denmark,2002,1.72
Denmark,2003,1.76
Denmark,2004,1.78
Denmark,2005,1.8
Denmark,2006,1.85
Denmark,2007,1.84
Denmark,2008,1.89
Denmark,2009,1.84
Denmark,2010,1.87
Djibouti,2000,4.468999999999999
Djibouti,2001,4.353
Djibouti,2002,4.253
Djibouti,2003,4.16
Djibouti,2004,4.074
Djibouti,2005,3.991
Djibouti,2006,3.911
Djibouti,2007,3.832
Djibouti,2008,3.755
Djibouti,2009,3.679
Djibouti,2010,3.604
Dominica,2000,
Dominica,2001,
Dominica,2002,1.9
Dominica,2003,1.9
Dominica,2004,
Dominica,2005,
Dominica,2006,
Dominica,2007,
Dominica,2008,
Dominica,2009,
Dominica,2010,
Dominican Republic,2000,2.892
Dominican Republic,2001,2.863
Dominican Republic,2002,2.8360000000000003
Dominican Republic,2003,2.809
Dominican Republic,2004,2.781
Dominican Republic,2005,2.7510000000000003
Dominican Republic,2006,2.719
Dominican Republic,2007,2.6860000000000004
Dominican Republic,2008,2.652
Dominican Republic,2009,2.6180000000000003
Dominican Republic,2010,2.584
Ecuador,2000,3.068
Ecuador,2001,3.025
Ecuador,2002,2.983
Ecuador,2003,2.94
Ecuador,2004,2.897
Ecuador,2005,2.853
Ecuador,2006,2.81
Ecuador,2007,2.768
Ecuador,2008,2.728
Ecuador,2009,2.69
Ecuador,2010,2.655
"Egypt, Arab Rep.",2000,3.306
"Egypt, Arab Rep.",2001,3.242
"Egypt, Arab Rep.",2002,3.184
"Egypt, Arab Rep.",2003,3.134
"Egypt, Arab Rep.",2004,3.091
"Egypt, Arab Rep.",2005,3.053
"Egypt, Arab Rep.",2006,3.02
"Egypt, Arab Rep.",2007,2.987
"Egypt, Arab Rep.",2008,2.954
"Egypt, Arab Rep.",2009,2.919
"Egypt, Arab Rep.",2010,2.883
El Salvador,2000,2.934
El Salvador,2001,2.803
El Salvador,2002,2.6830000000000003
El Salvador,2003,2.58
El Salvador,2004,2.496
El Salvador,2005,2.4330000000000003
El Salvador,2006,2.386
El Salvador,2007,2.35
El Salvador,2008,2.319
El Salvador,2009,2.291
El Salvador,2010,2.263
Equatorial Guinea,2000,5.773
Equatorial Guinea,2001,5.727
Equatorial Guinea,2002,5.678
Equatorial Guinea,2003,5.627000000000002
Equatorial Guinea,2004,5.574
Equatorial Guinea,2005,5.518
Equatorial Guinea,2006,5.4570000000000025
Equatorial Guinea,2007,5.39
Equatorial Guinea,2008,5.314
Equatorial Guinea,2009,5.231
Equatorial Guinea,2010,5.14
Eritrea,2000,5.94
Eritrea,2001,5.86
Eritrea,2002,5.774
Eritrea,2003,5.681
Eritrea,2004,5.5820000000000025
Eritrea,2005,5.478
Eritrea,2006,5.372000000000001
Eritrea,2007,5.266
Eritrea,2008,5.162999999999999
Eritrea,2009,5.063
Eritrea,2010,4.968
Estonia,2000,1.38
Estonia,2001,1.34
Estonia,2002,1.37
Estonia,2003,1.37
Estonia,2004,1.47
Estonia,2005,1.5
Estonia,2006,1.55
Estonia,2007,1.63
Estonia,2008,1.65
Estonia,2009,1.62
Estonia,2010,1.63
Ethiopia,2000,6.529
Ethiopia,2001,6.38
Ethiopia,2002,6.218
Ethiopia,2003,6.046
Ethiopia,2004,5.87
Ethiopia,2005,5.693
Ethiopia,2006,5.52
Ethiopia,2007,5.353
Ethiopia,2008,5.193
Ethiopia,2009,5.043
Ethiopia,2010,4.902
Faeroe Islands,2000,
Faeroe Islands,2001,
Faeroe Islands,2002,
Faeroe Islands,2003,
Faeroe Islands,2004,
Faeroe Islands,2005,
Faeroe Islands,2006,
Faeroe Islands,2007,
Faeroe Islands,2008,
Faeroe Islands,2009,
Faeroe Islands,2010,
Fiji,2000,3.09
Fiji,2001,3.0460000000000003
Fiji,2002,3.0010000000000003
Fiji,2003,2.954
Fiji,2004,2.907
Fiji,2005,2.86
Fiji,2006,2.8160000000000003
Fiji,2007,2.774
Fiji,2008,2.736
Fiji,2009,2.701
Fiji,2010,2.67
Finland,2000,1.73
Finland,2001,1.73
Finland,2002,1.72
Finland,2003,1.76
Finland,2004,1.8
Finland,2005,1.8
Finland,2006,1.84
Finland,2007,1.83
Finland,2008,1.85
Finland,2009,1.86
Finland,2010,1.87
France,2000,1.89
France,2001,1.9
France,2002,1.88
France,2003,1.89
France,2004,1.92
France,2005,1.94
France,2006,2.0
France,2007,1.98
France,2008,2.01
France,2009,2.0
France,2010,2.03
French Polynesia,2000,2.463
French Polynesia,2001,2.414
French Polynesia,2002,2.37
French Polynesia,2003,2.329
French Polynesia,2004,2.289
French Polynesia,2005,2.251
French Polynesia,2006,2.216
French Polynesia,2007,2.184
French Polynesia,2008,2.156
French Polynesia,2009,2.132
French Polynesia,2010,2.11
Gabon,2000,4.6
Gabon,2001,4.544
Gabon,2002,4.494
Gabon,2003,4.449
Gabon,2004,4.408
Gabon,2005,4.37
Gabon,2006,4.335
Gabon,2007,4.303999999999999
Gabon,2008,4.275
Gabon,2009,4.246
Gabon,2010,4.214
"Gambia, The",2000,5.9170000000000025
"Gambia, The",2001,5.891
"Gambia, The",2002,5.867000000000001
"Gambia, The",2003,5.845
"Gambia, The",2004,5.827000000000001
"Gambia, The",2005,5.812
"Gambia, The",2006,5.803
"Gambia, The",2007,5.799
"Gambia, The",2008,5.797999999999999
"Gambia, The",2009,5.797999999999999
"Gambia, The",2010,5.796
Georgia,2000,1.609
Georgia,2001,1.592
Georgia,2002,1.5930000000000002
Georgia,2003,1.609
Georgia,2004,1.639
Georgia,2005,1.6780000000000002
Georgia,2006,1.719
Georgia,2007,1.758
Georgia,2008,1.788
Georgia,2009,1.809
Georgia,2010,1.82
Germany,2000,1.38
Germany,2001,1.35
Germany,2002,1.34
Germany,2003,1.34
Germany,2004,1.36
Germany,2005,1.34
Germany,2006,1.33
Germany,2007,1.37
Germany,2008,1.38
Germany,2009,1.36
Germany,2010,1.39
Ghana,2000,4.669
Ghana,2001,4.617
Ghana,2002,4.566
Ghana,2003,4.512
Ghana,2004,4.455
Ghana,2005,4.392
Ghana,2006,4.3260000000000005
Ghana,2007,4.257
Ghana,2008,4.188
Ghana,2009,4.119
Ghana,2010,4.052
Greece,2000,1.26
Greece,2001,1.25
Greece,2002,1.27
Greece,2003,1.28
Greece,2004,1.3
Greece,2005,1.33
Greece,2006,1.4
Greece,2007,1.41
Greece,2008,1.51
Greece,2009,1.52
Greece,2010,1.51
Greenland,2000,2.3080000000000003
Greenland,2001,2.451
Greenland,2002,2.489
Greenland,2003,2.361
Greenland,2004,2.42
Greenland,2005,2.3
Greenland,2006,2.26
Greenland,2007,2.23
Greenland,2008,2.247
Greenland,2009,2.359
Greenland,2010,2.2
Grenada,2000,2.582
Grenada,2001,2.512
Grenada,2002,2.455
Grenada,2003,2.4090000000000003
Grenada,2004,2.373
Grenada,2005,2.344
Grenada,2006,2.321
Grenada,2007,2.301
Grenada,2008,2.282
Grenada,2009,2.262
Grenada,2010,2.24
Guam,2000,2.824
Guam,2001,2.794
Guam,2002,2.759
Guam,2003,2.72
Guam,2004,2.679
Guam,2005,2.638
Guam,2006,2.599
Guam,2007,2.562
Guam,2008,2.529
Guam,2009,2.499
Guam,2010,2.472
Guatemala,2000,4.801
Guatemala,2001,4.718
Guatemala,2002,4.634
Guatemala,2003,4.547
Guatemala,2004,4.459
Guatemala,2005,4.371
Guatemala,2006,4.283
Guatemala,2007,4.199
Guatemala,2008,4.119
Guatemala,2009,4.044
Guatemala,2010,3.974
Guinea,2000,5.939
Guinea,2001,5.8660000000000005
Guinea,2002,5.794
Guinea,2003,5.722
Guinea,2004,5.649
Guinea,2005,5.5760000000000005
Guinea,2006,5.501
Guinea,2007,5.422999999999999
Guinea,2008,5.343
Guinea,2009,5.26
Guinea,2010,5.174
Guinea-Bissau,2000,5.845
Guinea-Bissau,2001,5.766
Guinea-Bissau,2002,5.69
Guinea-Bissau,2003,5.614
Guinea-Bissau,2004,5.539
Guinea-Bissau,2005,5.462999999999999
Guinea-Bissau,2006,5.388999999999999
Guinea-Bissau,2007,5.317
Guinea-Bissau,2008,5.247000000000001
Guinea-Bissau,2009,5.18
Guinea-Bissau,2010,5.115
Guyana,2000,2.585
Guyana,2001,2.614
Guyana,2002,2.645
Guyana,2003,2.678
Guyana,2004,2.709
Guyana,2005,2.735
Guyana,2006,2.7510000000000003
Guyana,2007,2.754
Guyana,2008,2.7430000000000003
Guyana,2009,2.718
Guyana,2010,2.682
Haiti,2000,4.303
Haiti,2001,4.182
Haiti,2002,4.065
Haiti,2003,3.953
Haiti,2004,3.849
Haiti,2005,3.753
Haiti,2006,3.664
Haiti,2007,3.58
Haiti,2008,3.5
Haiti,2009,3.424
Haiti,2010,3.35
Honduras,2000,3.996
Honduras,2001,3.883
Honduras,2002,3.775
Honduras,2003,3.674
Honduras,2004,3.579
Honduras,2005,3.492
Honduras,2006,3.4130000000000003
Honduras,2007,3.34
Honduras,2008,3.273
Honduras,2009,3.212
Honduras,2010,3.154
"Hong Kong SAR, China",2000,1.035
"Hong Kong SAR, China",2001,0.932
"Hong Kong SAR, China",2002,0.939
"Hong Kong SAR, China",2003,0.901
"Hong Kong SAR, China",2004,0.927
"Hong Kong SAR, China",2005,0.966
"Hong Kong SAR, China",2006,0.984
"Hong Kong SAR, China",2007,1.028
"Hong Kong SAR, China",2008,1.064
"Hong Kong SAR, China",2009,1.055
"Hong Kong SAR, China",2010,1.127
Hungary,2000,1.32
Hungary,2001,1.31
Hungary,2002,1.3
Hungary,2003,1.27
Hungary,2004,1.28
Hungary,2005,1.31
Hungary,2006,1.34
Hungary,2007,1.32
Hungary,2008,1.35
Hungary,2009,1.32
Hungary,2010,1.25
Iceland,2000,2.08
Iceland,2001,1.95
Iceland,2002,1.93
Iceland,2003,1.99
Iceland,2004,2.04
Iceland,2005,2.05
Iceland,2006,2.08
Iceland,2007,2.09
Iceland,2008,2.15
Iceland,2009,2.23
Iceland,2010,2.2
India,2000,3.145
India,2001,3.083
India,2002,3.018
India,2003,2.952
India,2004,2.884
India,2005,2.817
India,2006,2.753
India,2007,2.694
India,2008,2.643
India,2009,2.6
India,2010,2.563
Indonesia,2000,2.484
Indonesia,2001,2.475
Indonesia,2002,2.474
Indonesia,2003,2.479
Indonesia,2004,2.486
Indonesia,2005,2.4930000000000003
Indonesia,2006,2.495
Indonesia,2007,2.49
Indonesia,2008,2.479
Indonesia,2009,2.46
Indonesia,2010,2.434
"Iran, Islamic Rep.",2000,2.193
"Iran, Islamic Rep.",2001,2.079
"Iran, Islamic Rep.",2002,1.994
"Iran, Islamic Rep.",2003,1.934
"Iran, Islamic Rep.",2004,1.895
"Iran, Islamic Rep.",2005,1.873
"Iran, Islamic Rep.",2006,1.866
"Iran, Islamic Rep.",2007,1.87
"Iran, Islamic Rep.",2008,1.88
"Iran, Islamic Rep.",2009,1.893
"Iran, Islamic Rep.",2010,1.904
Iraq,2000,4.965
Iraq,2001,4.879
Iraq,2002,4.795
Iraq,2003,4.713
Iraq,2004,4.634
Iraq,2005,4.557
Iraq,2006,4.4830000000000005
Iraq,2007,4.412
Iraq,2008,4.343
Iraq,2009,4.276
Iraq,2010,4.211
Ireland,2000,1.89
Ireland,2001,1.94
Ireland,2002,1.97
Ireland,2003,1.96
Ireland,2004,1.94
Ireland,2005,1.87
Ireland,2006,1.93
Ireland,2007,2.01
Ireland,2008,2.1
Ireland,2009,2.07
Ireland,2010,2.07
Isle of Man,2000,
Isle of Man,2001,
Isle of Man,2002,1.65
Isle of Man,2003,
Isle of Man,2004,
Isle of Man,2005,
Isle of Man,2006,
Isle of Man,2007,
Isle of Man,2008,
Isle of Man,2009,
Isle of Man,2010,
Israel,2000,2.95
Israel,2001,2.92
Israel,2002,2.89
Israel,2003,2.95
Israel,2004,2.9
Israel,2005,2.84
Israel,2006,2.88
Israel,2007,2.9
Israel,2008,2.96
Israel,2009,2.96
Israel,2010,3.03
Italy,2000,1.26
Italy,2001,1.25
Italy,2002,1.27
Italy,2003,1.29
Italy,2004,1.33
Italy,2005,1.32
Italy,2006,1.35
Italy,2007,1.37
Italy,2008,1.42
Italy,2009,1.41
Italy,2010,1.41
Jamaica,2000,2.603
Jamaica,2001,2.5780000000000003
Jamaica,2002,2.552
Jamaica,2003,2.525
Jamaica,2004,2.498
Jamaica,2005,2.47
Jamaica,2006,2.442
Jamaica,2007,2.414
